average,date,highest,lowest,order_count,volume
968800000,2023-02-09,972500000,964900000,79,126
964150000,2023-02-10,964500000,878600000,112,136
970000000,2023-02-11,991200000,960000000,123,159
960500000,2023-02-12,965000000,959900000,118,153
969500000,2023-02-13,970900000,959900000,83,110
968889473.68,2023-02-14,978000000,957000000,54,76
970000000,2023-02-15,980000000,959400000,94,120
959700000,2023-02-16,969650000,920800000,82,103
960000000,2023-02-17,969900000,959700000,94,119
965000000,2023-02-18,989700000,959700000,134,168
962450000,2023-02-19,985000000,895000000,124,178
970000000,2023-02-20,970000000,969900000,97,135
971800000,2023-02-21,972000000,967400000,86,117
975000000,2023-02-22,987500000,968500000,103,147
987900000,2023-02-23,989000000,979100000,138,194
969900000,2023-02-24,983600000,957500000,115,161
978000000,2023-02-25,980000000,975000000,129,155
987600000,2023-02-26,992100000,978400000,181,283
987700000,2023-02-27,991700000,986000000,125,164
981250000,2023-02-28,986000000,974000000,146,198
972700000,2023-03-01,974250000,896600000,137,183
971500000,2023-03-02,971950000,971100000,78,101
983500000,2023-03-03,987600000,973000000,143,189
989900000,2023-03-04,993700000,988000000,136,211
986900000,2023-03-05,989650000,956300000,189,244
985290476.19,2023-03-06,987900000,984300000,60,63
983100000,2023-03-07,983500000,908200000,154,188
984300000,2023-03-08,984900000,913200000,105,131
912000000,2023-03-09,985000000,883850000,169,201
984500000,2023-03-10,985100000,945000000,140,189
982800000,2023-03-11,984300000,975000000,141,186
984500000,2023-03-12,985600000,902000000,149,212
985100000,2023-03-13,985800000,984500000,92,142
975851388.89,2023-03-14,985000000,969900000,52,72
981000000,2023-03-15,985400000,969900000,126,170
978100000,2023-03-16,981900000,910100000,93,103
974000000,2023-03-17,974800000,969900000,92,120
969900000,2023-03-18,978550000,968000000,126,175
968000000,2023-03-19,972900000,905000000,119,181
962000000,2023-03-20,968700000,905000000,84,107
968800000,2023-03-21,969000000,905500000,93,109
973000000,2023-03-22,981000000,969900000,105,149
960401351.35,2023-03-23,981100000,950000000,61,74
970250000,2023-03-24,982500000,913000000,106,174
969700000,2023-03-25,985000000,938250000,129,142
974000000,2023-03-26,985800000,949400000,116,143
969000000,2023-03-27,973900000,963600000,101,121
964130681.82,2023-03-28,970400000,903000000,66,88
966000000,2023-03-29,967500000,956000000,97,122
965200000,2023-03-30,967500000,965000000,82,134
969900000,2023-03-31,987600000,967900000,112,140
983950000,2023-04-01,986700000,968900000,112,148
966600000,2023-04-02,975000000,895700000,171,261
979700000,2023-04-03,986300000,895500000,146,276
961900000,2023-04-04,977900000,880400000,110,133
939231868.13,2023-04-05,962000000,891300000,75,91
958800000,2023-04-06,969800000,950000000,100,156
968000000,2023-04-07,969600000,955300000,198,289
978000000,2023-04-08,987400000,900300000,172,256
981900000,2023-04-09,989800000,974600000,128,174
989500000,2023-04-10,993000000,984000000,99,137
978000000,2023-04-11,984800000,910000000,95,131
972029411.76,2023-04-12,979900000,916550000,72,85
984400000,2023-04-13,984750000,979800000,105,140
987400000,2023-04-14,992600000,980000000,102,138
992700000,2023-04-15,993700000,965000000,94,120
988000000,2023-04-16,994100000,979000000,167,253
982900000,2023-04-17,996900000,979000000,89,116
980000000,2023-04-18,988500000,949000000,100,122
957754081.63,2023-04-19,970000000,949450000,73,98
969000000,2023-04-20,988400000,911200000,123,144
981800000,2023-04-21,989100000,960000000,123,172
980900000,2023-04-22,992700000,972000000,139,202
978000000,2023-04-23,982000000,973300000,164,249
977100000,2023-04-24,983500000,901200000,96,133
975000000,2023-04-25,981900000,967000000,99,120
977100000,2023-04-26,981900000,976900000,90,108
979200000,2023-04-27,994400000,975000000,101,145
979900000,2023-04-28,991900000,978400000,112,152
984900000,2023-04-29,992000000,981950000,106,133
991600000,2023-04-30,992300000,984700000,106,134
972229591.84,2023-05-01,991300000,902400000,77,98
983900000,2023-05-02,989500000,902100000,82,104
983000000,2023-05-03,987600000,969900000,91,123
975870103.09,2023-05-04,984800000,937050000,71,97
988600000,2023-05-05,990150000,984900000,167,318
991900000,2023-05-06,1000000000,989100000,174,302
999600000,2023-05-07,1017000000,924100000,125,166
971700000,2023-05-08,989900000,942400000,172,289
995900000,2023-05-09,999700000,979900000,123,217
994900000,2023-05-10,998100000,994000000,107,153
992300000,2023-05-11,992650000,989900000,100,139
995100000,2023-05-12,995500000,992900000,114,160
996200000,2023-05-13,996600000,985000000,94,140
987300000,2023-05-14,994600000,950000000,136,186
994900000,2023-05-15,996300000,994100000,109,219
981153763.44,2023-05-16,990300000,905000000,63,93
982100000,2023-05-17,985000000,974000000,107,141
965794186.05,2023-05-18,983400000,905000000,69,86
974000000,2023-05-19,981400000,916700000,101,142
974000000,2023-05-20,975700000,973200000,146,191
974000000,2023-05-21,975800000,969000000,112,141
954034285.71,2023-05-22,973900000,900100000,54,70
961800000,2023-05-23,967800000,900000000,91,151
965281818.18,2023-05-24,967450000,961600000,75,99
960238961.04,2023-05-25,969800000,901300000,66,77
967900000,2023-05-26,974500000,927500000,122,150
974500000,2023-05-27,976400000,969500000,120,158
967000000,2023-05-28,974000000,963000000,119,142
973900000,2023-05-29,977900000,957950000,119,174
970900000,2023-05-30,973750000,895700000,113,150
972000000,2023-05-31,984800000,896500000,138,191
973300000,2023-06-01,973500000,972800000,86,111
